sample,point,x,top_y,bottom_y,diameter,tracking_status,confidence
sample_03,1,30,432.9000015258789,774.0691057811987,341.1691042553198,TRACKED,0.6701267957687378
sample_03,2,33,433.0,774.0696721580586,341.06967215805855,TRACKED,0.6701267957687378
sample_03,3,37,434.25000238419943,774.0798319273855,339.82982954318607,TRACKED,0.6701267957687378
sample_03,4,40,434.0833322736925,774.0397488237486,339.9564165500561,TRACKED,0.6701267957687378
sample_03,5,44,434.13636174477557,774.0208334094948,339.88447166471923,TRACKED,0.6701267957687378
sample_03,6,48,434.16667514384716,774.0099601569406,339.8432850130934,TRACKED,0.6701267957687378
sample_03,7,51,433.714285519658,774.0,340.285714480342,TRACKED,0.6701267957687378
sample_03,8,55,433.0,774.0042733983794,341.0042733983794,TRACKED,0.6701267957687378
sample_03,9,59,432.0,774.0021098336791,342.0021098336791,TRACKED,0.6701267957687378
sample_03,10,62,432.0,773.9917355873457,341.9917355873457,TRACKED,0.6701267957687378
sample_03,11,66,432.0,773.9872882499739,341.98728824997386,TRACKED,0.6701267957687378
sample_03,12,69,432.0,774.0022026942526,342.00220269425256,TRACKED,0.6701267957687378
sample_03,13,73,432.0,774.0111111148788,342.01111111487876,TRACKED,0.6701267957687378
sample_03,14,77,432.0,774.0113123062337,342.01131230623366,TRACKED,0.6701267957687378
sample_03,15,80,430.92857103931595,773.990909188641,343.06233814932506,TRACKED,0.6701267957687378
sample_03,16,84,430.05555492761937,773.97846895192,343.92291402430067,INITIAL,0.6701267957687378
sample_03,17,88,430.0,773.9541484625229,343.9541484625229,TRACKED,0.6701267957687378
sample_03,18,91,431.0,773.9375000248352,342.93750002483523,TRACKED,0.6701267957687378
sample_03,19,95,429.5,773.9327731149681,344.4327731149681,TRACKED,0.6701267957687378
sample_03,20,99,430.0,773.9173912863199,343.9173912863199,TRACKED,0.6701267957687378
sample_03,21,102,430.0,773.9144145560607,343.9144145560607,TRACKED,0.6701267957687378
sample_03,22,106,429.7857111716621,773.9253392923166,344.1396281206545,TRACKED,0.6701267957687378
sample_03,23,109,429.0,773.934977575407,344.93497757540695,TRACKED,0.6701267957687378
sample_03,24,113,431.0,773.9009661506351,342.9009661506351,TRACKED,0.6701267957687378
sample_03,25,117,430.74999920527193,773.8782385017296,343.12823929645765,TRACKED,0.6701267957687378
sample_03,26,120,430.93750059604986,773.9106279285166,342.9731273324668,TRACKED,0.6701267957687378
sample_03,27,124,430.0,773.9314720645083,343.9314720645083,TRACKED,0.6701267957687378
sample_03,28,128,430.0,773.9049999237061,343.9049999237061,TRACKED,0.6701267957687378
sample_03,29,131,429.0,773.9154589558937,344.91545895589366,TRACKED,0.6701267957687378
sample_03,30,135,429.8636313194016,773.9148936526384,344.0512623332368,TRACKED,0.6701267957687378
sample_03,31,139,430.0,773.88190942781,343.88190942781,TRACKED,0.6701267957687378
sample_04,1,31,396.5689657440366,777.9290540466525,381.3600883026159,TRACKED,0.689749538898468
sample_04,2,34,396.0,777.9169492559918,381.91694925599177,TRACKED,0.689749538898468
sample_04,3,38,395.52963002522785,777.899305605916,382.3696755806881,TRACKED,0.689749538898468
sample_04,4,42,396.0,777.9041811744803,381.9041811744803,TRACKED,0.689749538898468
sample_04,5,45,396.2999954223633,777.9090909030282,381.6090954806649,TRACKED,0.689749538898468
sample_04,6,49,396.0,777.9042553623211,381.9042553623211,TRACKED,0.689749538898468
sample_04,7,53,398.91860417664697,777.8965516447596,378.97794746811263,TRACKED,0.689749538898468
sample_04,8,56,400.2187511175855,777.9041812395491,377.6854301219636,TRACKED,0.689749538898468
sample_04,9,60,400.0,777.9367816335549,377.9367816335549,TRACKED,0.689749538898468
sample_04,10,64,402.00000063578204,777.9069767287127,375.9069760929307,TRACKED,0.689749538898468
sample_04,11,68,401.58536551326307,777.9007633323819,376.3153978191188,TRACKED,0.689749538898468
sample_04,12,71,402.011627948239,777.9119849649487,375.90035701670973,TRACKED,0.689749538898468
sample_04,13,75,401.7857132477026,777.9081632827829,376.1224500350803,TRACKED,0.689749538898468
sample_04,14,79,401.84146330116886,777.8886463289455,376.0471830277766,TRACKED,0.689749538898468
sample_04,15,82,402.62820520344576,777.8771185502346,375.24891334678887,TRACKED,0.689749538898468
sample_04,16,86,402.24074053142954,777.8665338615143,375.6257933300848,INITIAL,0.689749538898468
sample_04,17,90,402.0,777.8347107750675,375.8347107750675,TRACKED,0.689749538898468
sample_04,18,93,403.1666666666667,777.8776823830561,374.71101571638945,TRACKED,0.689749538898468
sample_04,19,97,403.726414911006,777.8900414852377,374.1636265742317,TRACKED,0.689749538898468
sample_04,20,101,403.0,777.8719008147216,374.8719008147216,TRACKED,0.689749538898468
sample_04,21,105,398.59374973922974,777.8491379111899,379.2553881719602,TRACKED,0.689749538898468
sample_04,22,108,399.1800003051758,777.8390558164767,378.65905551130095,TRACKED,0.689749538898468
sample_04,23,112,399.0384616964668,777.8136362647223,378.77517456825547,TRACKED,0.689749538898468
sample_04,24,116,399.0,777.8127753104084,378.81277531040837,TRACKED,0.689749538898468
sample_04,25,119,398.3666667514377,777.811403504369,379.44473675293125,TRACKED,0.689749538898468
sample_04,26,123,397.5975610436888,777.8084113065806,380.2108502628918,TRACKED,0.689749538898468
sample_04,27,127,397.55357130692926,777.7727274386557,380.21915613172644,TRACKED,0.689749538898468
sample_04,28,130,398.34482720065455,777.7648400653306,379.4200128646761,TRACKED,0.689749538898468
sample_04,29,134,398.874999403953,777.7570093936905,378.8820099897375,TRACKED,0.689749538898468
sample_04,30,138,401.7321426260229,777.7352942056447,376.0031515796218,TRACKED,0.689749538898468
sample_04,31,142,401.509523664202,777.7303923209416,376.22086865673964,TRACKED,0.689749538898468
sample_06,1,30,418.2826089840977,788.6398306468272,370.35722166272956,TRACKED,0.7647799849510193
sample_06,2,33,415.7000010172539,788.6298701170022,372.92986909974826,TRACKED,0.7647799849510193
sample_06,3,37,415.0,788.5048079832769,373.5048079832769,TRACKED,0.7647799849510193
sample_06,4,40,411.98571423900376,788.4704139848112,376.48469974580746,TRACKED,0.7647799849510193
sample_06,5,44,412.309523679772,788.5360826931593,376.2265590133873,TRACKED,0.7647799849510193
sample_06,6,47,417.9615380100943,788.399408428272,370.4378704181777,TRACKED,0.7647799849510193
sample_06,7,51,417.0,788.3812499329448,371.3812499329448,TRACKED,0.7647799849510193
sample_06,8,54,416.827272121965,788.3181818181819,371.4909096962169,TRACKED,0.7647799849510193
sample_06,9,58,414.75000119209403,788.2291665466296,373.47916535453555,TRACKED,0.7647799849510193
sample_06,10,61,412.42537314282623,788.1571428208124,375.73176967798616,TRACKED,0.7647799849510193
sample_06,11,65,413.0,788.0980860807365,375.0980860807365,TRACKED,0.7647799849510193
sample_06,12,68,413.0,788.1009851309568,375.1009851309568,TRACKED,0.7647799849510193
sample_06,13,72,411.8333333333333,788.0970873498751,376.2637540165418,TRACKED,0.7647799849510193
sample_06,14,75,410.3571429544566,788.0902439042545,377.7331009497979,TRACKED,0.7647799849510193
sample_06,15,79,410.0,788.0728155393741,378.0728155393741,TRACKED,0.7647799849510193
sample_06,16,83,409.06250357626504,788.0294116631701,378.96690808690505,INITIAL,0.7647799849510193
sample_06,17,86,409.9400009155273,788.01818188754,378.07818097201266,TRACKED,0.7647799849510193
sample_06,18,90,409.14827596730197,788.0483871648229,378.9001111975209,TRACKED,0.7647799849510193
sample_06,19,93,409.0,788.0156950020613,379.0156950020613,TRACKED,0.7647799849510193
sample_06,20,97,410.0,787.9716157438016,377.97161574380164,TRACKED,0.7647799849510193
sample_06,21,100,410.0,787.9669603479811,377.96696034798106,TRACKED,0.7647799849510193
sample_06,22,104,409.90000087193175,787.9444444806713,378.0444436087396,TRACKED,0.7647799849510193
sample_06,23,107,408.03072643794957,787.9232365729771,379.8925101350275,TRACKED,0.7647799849510193
sample_06,24,111,406.0,787.8875968866168,381.88759688661685,TRACKED,0.7647799849510193
sample_06,25,114,406.1363630058365,787.8977273072093,381.7613643013728,TRACKED,0.7647799849510193
sample_06,26,118,405.0,787.8897058153235,382.8897058153235,TRACKED,0.7647799849510193
sample_06,27,121,406.0,787.8705037526046,381.8705037526046,TRACKED,0.7647799849510193
sample_06,28,125,403.0,787.8357142944725,384.8357142944725,TRACKED,0.7647799849510193
sample_06,29,128,400.96464623890176,787.8167260501482,386.8520798112464,TRACKED,0.7647799849510193
sample_06,30,132,401.6083330207399,787.8076923384725,386.1993593177326,TRACKED,0.7647799849510193
sample_06,31,136,401.83613451843286,787.779310328952,385.9431758105191,TRACKED,0.7647799849510193
sample_07,1,30,398.0,783.3385649142608,385.3385649142608,TRACKED,0.7841953039169312
sample_07,2,33,397.0,783.4191921702358,386.41919217023576,TRACKED,0.7841953039169312
sample_07,3,37,397.4062489569177,783.2608695652174,385.8546206082997,TRACKED,0.7841953039169312
sample_07,4,40,397.0,783.1753245959725,386.1753245959725,TRACKED,0.7841953039169312
sample_07,5,44,397.0,783.1969693957171,386.19696939571713,TRACKED,0.7841953039169312
sample_07,6,48,398.0,783.1543209682736,385.1543209682736,TRACKED,0.7841953039169312
sample_07,7,51,397.0,783.1100387243414,386.1100387243414,TRACKED,0.7841953039169312
sample_07,8,55,395.60000084770905,783.1215140156719,387.52151316796284,TRACKED,0.7841953039169312
sample_07,9,59,395.0,783.046075087546,388.046075087546,TRACKED,0.7841953039169312
sample_07,10,62,394.2272730425374,783.0376711747149,388.8103981321775,TRACKED,0.7841953039169312
sample_07,11,66,394.0,783.0475285253829,389.04752852538286,TRACKED,0.7841953039169312
sample_07,12,69,394.0,783.0551331184532,389.0551331184532,TRACKED,0.7841953039169312
sample_07,13,73,394.3059707441054,783.0574914225781,388.7515206784727,TRACKED,0.7841953039169312
sample_07,14,77,394.0,783.0769229948424,389.07692299484245,TRACKED,0.7841953039169312
sample_07,15,80,395.3103451904585,783.09566782728,387.78532263682143,TRACKED,0.7841953039169312
sample_07,16,84,395.03846170775296,783.10147587971,388.0630141719571,INITIAL,0.7841953039169312
sample_07,17,88,395.0,783.0724381082451,388.07243810824514,TRACKED,0.7841953039169312
