sample,point,x,top_y,bottom_y,diameter,deviation,outlier,confidence
sample_03,1,30,311.0,774.0,463.0,1.0,NORMAL,0.6701267957687378
sample_03,2,33,311.0,774.0,463.0,1.0,NORMAL,0.6701267957687378
sample_03,3,37,311.0,774.0,463.0,1.0,NORMAL,0.6701267957687378
sample_03,4,40,310.06521796819544,774.0397488237486,463.97453085555316,0.025469144446844894,NORMAL,0.6701267957687378
sample_03,5,44,310.0,774.0208334094948,464.0208334094948,0.020833409494798616,NORMAL,0.6701267957687378
sample_03,6,48,310.0,774.0099601569406,464.00996015694056,0.009960156940564957,NORMAL,0.6701267957687378
sample_03,7,51,310.0,774.0,464.0,0.0,NORMAL,0.6701267957687378
sample_03,8,55,310.0,774.0,464.0,0.0,NORMAL,0.6701267957687378
sample_03,9,59,310.0,774.0,464.0,0.0,NORMAL,0.6701267957687378
sample_03,10,62,309.0,773.9917355873457,464.9917355873457,0.9917355873457154,NORMAL,0.6701267957687378
sample_03,11,66,310.0,774.0,464.0,0.0,NORMAL,0.6701267957687378
sample_03,12,69,310.0,774.0,464.0,0.0,NORMAL,0.6701267957687378
sample_03,13,73,310.0,774.0,464.0,0.0,NORMAL,0.6701267957687378
sample_03,14,77,310.0,774.0,464.0,0.0,NORMAL,0.6701267957687378
sample_03,15,80,310.0,774.0,464.0,0.0,NORMAL,0.6701267957687378
sample_03,16,84,311.0,774.0,463.0,1.0,NORMAL,0.6701267957687378
sample_03,17,88,311.0,774.0,463.0,1.0,NORMAL,0.6701267957687378
sample_03,18,91,311.0,774.0,463.0,1.0,NORMAL,0.6701267957687378
sample_03,19,95,311.1612906103699,773.9327731149681,462.77148250459817,1.2285174954018316,NORMAL,0.6701267957687378
sample_03,20,99,314.0,774.0,460.0,4.0,NORMAL,0.6701267957687378
sample_03,21,102,312.0,774.0,462.0,2.0,NORMAL,0.6701267957687378
sample_03,22,106,312.576923173661,774.0,461.423076826339,2.5769231736609868,NORMAL,0.6701267957687378
sample_03,23,109,312.5353983555621,774.0,461.4646016444379,2.5353983555621085,NORMAL,0.6701267957687378
sample_03,24,113,312.58571434020996,774.0,461.41428565979004,2.585714340209961,NORMAL,0.6701267957687378
sample_03,25,117,312.8298429183435,773.8782385017296,461.0483955833861,2.951604416613918,NORMAL,0.6701267957687378
sample_03,26,120,312.97967479548726,773.9106279285166,460.9309531330294,3.0690468669706092,NORMAL,0.6701267957687378
sample_03,27,124,311.10869561096735,779.7727269574626,468.6640313464953,4.664031346495278,OUTLIER,0.6701267957687378
sample_03,28,128,230.70000152588472,773.9049999237061,543.2049983978213,79.20499839782133,OUTLIER,0.6701267957687378
sample_03,29,131,214.24999761581572,773.9154589558937,559.665461340078,95.66546134007797,OUTLIER,0.6701267957687378
sample_03,30,135,195.02941031273912,773.9148936526384,578.8854833398993,114.88548333989934,OUTLIER,0.6701267957687378
sample_03,31,139,215.33333015443108,773.88190942781,558.5485792733789,94.54857927337889,OUTLIER,0.6701267957687378
sample_04,1,31,315.0,777.9290540466525,462.9290540466525,0.9702515592634882,NORMAL,0.689749538898468
sample_04,2,34,314.0,777.9169492559918,463.91694925599177,0.017643650075797268,NORMAL,0.689749538898468
sample_04,3,38,314.0,777.899305605916,463.89930560591597,0.0,NORMAL,0.689749538898468
sample_04,4,42,314.0,777.9041811744803,463.9041811744803,0.004875568564330024,NORMAL,0.689749538898468
sample_04,5,45,314.0,777.9090909030282,463.9090909030282,0.00978529711221654,NORMAL,0.689749538898468
sample_04,6,49,314.0,777.9042553623211,463.9042553623211,0.004949756405153494,NORMAL,0.689749538898468
sample_04,7,53,314.0,777.8965516447596,463.8965516447596,0.0027539611563724975,NORMAL,0.689749538898468
sample_04,8,56,314.0,777.9041812395491,463.9041812395491,0.004875633633105281,NORMAL,0.689749538898468
sample_04,9,60,314.0,777.9367816335549,463.9367816335549,0.0374760276389452,NORMAL,0.689749538898468
sample_04,10,64,314.0,777.9069767287127,463.9069767287127,0.007671122796750751,NORMAL,0.689749538898468
sample_04,11,68,314.0,777.9007633323819,463.90076333238187,0.0014577264659010325,NORMAL,0.689749538898468
sample_04,12,71,314.0,777.9119849649487,463.9119849649487,0.012679359032745197,NORMAL,0.689749538898468
sample_04,13,75,314.0,777.9081632827829,463.9081632827829,0.00885767686690997,NORMAL,0.689749538898468
sample_04,14,79,315.0,777.8886463289455,462.88864632894547,1.0106592769705003,NORMAL,0.689749538898468
sample_04,15,82,315.0,777.8771185502346,462.8771185502346,1.0221870556813428,NORMAL,0.689749538898468
sample_04,16,86,315.0,777.8665338615143,462.8665338615143,1.032771744401657,NORMAL,0.689749538898468
sample_04,17,90,315.0,777.8347107750675,462.8347107750675,1.0645948308484776,NORMAL,0.689749538898468
sample_04,18,93,318.0,778.0,460.0,3.89930560591597,NORMAL,0.689749538898468
sample_04,19,97,316.0,777.8900414852377,461.8900414852377,2.0092641206782673,NORMAL,0.689749538898468
sample_04,20,101,316.0,778.0,462.0,1.8993056059159699,NORMAL,0.689749538898468
sample_04,21,105,316.19767396471934,777.8491379111899,461.6514639464706,2.2478416594453847,NORMAL,0.689749538898468
sample_04,22,108,316.499999715321,777.8390558164767,461.33905610115573,2.560249504760236,NORMAL,0.689749538898468
sample_04,23,112,316.76890766673665,777.8136362647223,461.0447285979856,2.854577007930345,NORMAL,0.689749538898468
sample_04,24,116,316.8580247339955,777.8127753104084,460.9547505764129,2.9445550295030785,NORMAL,0.689749538898468
sample_04,25,119,316.92145598629634,777.811403504369,460.88994751807263,3.0093580878433386,NORMAL,0.689749538898468
