epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.38839,2.51322,11.5948,0.01671,0,0,0,0,1.53858,9.52204,0.01519,4e-05,4e-05,4e-05
2,14.4465,3.86086,12.3231,0.02459,0,0,0,0,1.59081,9.57287,0.01651,9.67e-05,9.67e-05,9.67e-05
3,20.414,2.84515,10.9184,0.02044,0,0,0,0,1.76929,9.82949,0.01717,0.00014944,0.00014944,0.00014944
4,26.4651,3.06355,10.9828,0.02115,0,0,0,0,1.81248,9.91275,0.01764,0.00019822,0.00019822,0.00019822
5,33.5554,2.64894,10.3582,0.01775,0,0,0,0,1.81248,9.91275,0.01764,0.00024304,0.00024304,0.00024304
6,40.4457,2.8968,8.81399,0.0152,0,0,0,0,1.68163,10.3486,0.01114,0.0002839,0.0002839,0.0002839
7,46.1334,2.32817,7.85774,0.01209,0,0,0,0,1.68163,10.3486,0.01114,0.0003208,0.0003208,0.0003208
8,51.2838,1.96355,12.3507,0.01659,0,0,0,0,1.68163,10.3486,0.01114,0.00035374,0.00035374,0.00035374
9,58.3871,2.402,11.0556,0.01534,0,0,0,0,1.39799,10.5846,0.00889,0.00038272,0.00038272,0.00038272
10,64.1343,2.59203,8.80036,0.00983,0,0,0,0,1.39799,10.5846,0.00889,0.00040774,0.00040774,0.00040774
11,71.0073,2.15723,9.17905,0.01203,0,0,0,0,1.39799,10.5846,0.00889,0.0004288,0.0004288,0.0004288
12,77.0747,2.2043,9.88645,0.0172,0,0,0,0,1.39799,10.5846,0.00889,0.0004459,0.0004459,0.0004459
13,84.4965,1.57383,11.8042,0.01067,0,0,0,0,1.09978,10.7305,0.00625,0.00045904,0.00045904,0.00045904
14,89.2878,1.89303,12.2641,0.01981,0,0,0,0,1.09978,10.7305,0.00625,0.00046822,0.00046822,0.00046822
15,95.3085,1.66961,8.57619,0.0085,0,0,0,0,1.09978,10.7305,0.00625,0.00047344,0.00047344,0.00047344
16,101.93,1.38716,9.15283,0.00964,0,0,0,0,1.09978,10.7305,0.00625,0.0004747,0.0004747,0.0004747
17,109.985,2.10356,6.10057,0.00811,0,0,0,0,1.09978,10.7305,0.00625,0.000472,0.000472,0.000472
18,116.076,1.78344,11.1338,0.01671,0,0,0,0,0.89271,10.6324,0.00603,0.00046534,0.00046534,0.00046534
19,122.736,1.09384,9.67653,0.00921,0,0,0,0,0.89271,10.6324,0.00603,0.00045472,0.00045472,0.00045472
20,129.505,1.23248,11.0802,0.01336,0,0,0,0,0.89271,10.6324,0.00603,0.00044014,0.00044014,0.00044014
21,135.305,1.01767,10.1721,0.01106,0,0,0,0,0.89271,10.6324,0.00603,0.0004216,0.0004216,0.0004216
22,141.214,0.89103,10.096,0.00906,0,0,0,0,0.89271,10.6324,0.00603,0.0003991,0.0003991,0.0003991
23,149.07,0.90437,10.2939,0.00926,0,0,0,0,0.89271,10.6324,0.00603,0.00037264,0.00037264,0.00037264
24,156.42,1.02092,10.2208,0.00927,0,0,0,0,0.89271,10.6324,0.00603,0.00034222,0.00034222,0.00034222
25,161.692,1.07543,10.0615,0.0093,0,0,0,0,0.89271,10.6324,0.00603,0.00030784,0.00030784,0.00030784
26,169.845,0.95124,10.2057,0.00751,0,0,0,0,0.89271,10.6324,0.00603,0.0002695,0.0002695,0.0002695
27,175.911,0.75227,9.95813,0.00474,0,0,0,0,0.88448,10.4466,0.00582,0.0002272,0.0002272,0.0002272
28,181.79,1.09889,10.2803,0.00778,0,0,0,0,0.88448,10.4466,0.00582,0.00018094,0.00018094,0.00018094
29,187.571,1.14087,9.93432,0.011,0,0,0,0,0.88448,10.4466,0.00582,0.00013072,0.00013072,0.00013072
30,193.756,0.89961,9.99083,0.00847,0,0,0,0,0.88448,10.4466,0.00582,7.654e-05,7.654e-05,7.654e-05
