epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.14583,2.51322,11.5948,0.01671,0,0,0,0,1.53858,9.52204,0.01519,4e-05,4e-05,4e-05
2,9.44159,3.86005,12.3227,0.02458,0,0,0,0,1.59195,9.57419,0.01652,9.901e-05,9.901e-05,9.901e-05
3,13.9919,2.84365,10.914,0.02042,0,0,0,0,1.76985,9.83013,0.01717,0.000156832,0.000156832,0.000156832
4,18.3695,3.0584,10.982,0.02108,0,0,0,0,1.81569,9.91984,0.01765,0.000213466,0.000213466,0.000213466
5,21.9788,2.63571,10.3204,0.01753,0,0,0,0,1.81569,9.91984,0.01765,0.000268912,0.000268912,0.000268912
6,26.5956,2.83918,8.72275,0.01465,0,0,0,0,1.63747,10.4052,0.01016,0.00032317,0.00032317,0.00032317
7,30.4092,2.28942,7.82154,0.01201,0,0,0,0,1.63747,10.4052,0.01016,0.00037624,0.00037624,0.00037624
8,35.8689,1.85584,12.0742,0.01535,0,0,0,0,1.63747,10.4052,0.01016,0.000428122,0.000428122,0.000428122
9,40.7505,2.64131,11.7009,0.0162,0,0,0,0,1.26653,10.6698,0.00753,0.000478816,0.000478816,0.000478816
10,44.7743,2.46464,8.51393,0.00959,0,0,0,0,1.26653,10.6698,0.00753,0.000528322,0.000528322,0.000528322
11,53.0865,1.95272,8.85429,0.01083,0,0,0,0,1.26653,10.6698,0.00753,0.00057664,0.00057664,0.00057664
12,63.4749,1.85141,9.31812,0.01459,0,0,0,0,1.26653,10.6698,0.00753,0.00062377,0.00062377,0.00062377
13,69.5064,1.49398,11.7536,0.01041,0,0,0,0,0.88757,10.7947,0.00389,0.000669712,0.000669712,0.000669712
14,74.0589,1.63026,11.7131,0.01868,0,0,0,0,0.88757,10.7947,0.00389,0.000714466,0.000714466,0.000714466
