epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2241,3.21113,11.6526,0.02182,0,0,0,0,4.50145,24.7081,0.04227,0.000571429,0.000571429,0.000571429
2,34.9101,2.40917,12.1294,0.01561,0,0,0,0,2.30121,15.0729,0.01303,0.00122584,0.00122584,0.00122584
3,51.4581,1.89298,10.0605,0.0099,0,0,0,0,2.30121,15.0729,0.01303,0.00186705,0.00186705,0.00186705
4,65.0868,2.09629,13.0513,0.01325,0,0,0,0,1.85879,14.0773,0.01406,0.0019406,0.0019406,0.0019406
5,79.1723,1.6936,9.17266,0.0099,0,0,0,0,1.85879,14.0773,0.01406,0.0019208,0.0019208,0.0019208
6,91.8479,1.60931,8.0197,0.00797,0,0,0,0,2.52359,15.4546,0.01551,0.001901,0.001901,0.001901
7,105.454,1.75972,12.078,0.01337,0,0,0,0,2.52359,15.4546,0.01551,0.0018812,0.0018812,0.0018812
8,119.946,1.53278,11.1822,0.00899,0,0,0,0,1.43952,12.9451,0.01041,0.0018614,0.0018614,0.0018614
9,134.13,1.82859,7.8762,0.01126,0,0,0,0,1.43952,12.9451,0.01041,0.0018416,0.0018416,0.0018416
10,149.869,1.84178,8.38112,0.01042,0.00067,0.2,0.00015,4e-05,2.02571,13.4924,0.01051,0.0018218,0.0018218,0.0018218
11,171.502,1.156,6.69014,0.00587,0.00067,0.2,0.00015,4e-05,2.02571,13.4924,0.01051,0.001802,0.001802,0.001802
12,187.244,1.5238,8.65515,0.01044,0.00067,0.2,0.00015,4e-05,2.02571,13.4924,0.01051,0.0017822,0.0017822,0.0017822
13,202.218,1.69995,7.63955,0.00897,0.00333,1,0.995,0.28305,2.65551,13.7083,0.02042,0.0017624,0.0017624,0.0017624
14,218.656,1.88429,7.97005,0.01059,0.00333,1,0.995,0.28305,2.65551,13.7083,0.02042,0.0017426,0.0017426,0.0017426
15,237.527,1.69733,9.5823,0.01089,0.84135,1,0.995,0.48335,2.26728,11.4856,0.0172,0.0017228,0.0017228,0.0017228
16,251.466,1.40967,7.26337,0.00827,0.84135,1,0.995,0.48335,2.26728,11.4856,0.0172,0.001703,0.001703,0.001703
17,265.344,1.44278,7.00179,0.0108,0.49513,1,0.76643,0.55221,0.87676,9.01902,0.00552,0.0016832,0.0016832,0.0016832
18,279.925,1.42947,9.93095,0.01018,0.49513,1,0.76643,0.55221,0.87676,9.01902,0.00552,0.0016634,0.0016634,0.0016634
19,293.989,1.58524,6.70247,0.00911,0.9477,1,0.995,0.76296,1.02567,8.50562,0.00914,0.0016436,0.0016436,0.0016436
20,308.396,1.64394,7.31681,0.00953,0.9477,1,0.995,0.76296,1.02567,8.50562,0.00914,0.0016238,0.0016238,0.0016238
21,324.617,1.36035,6.59008,0.00732,0.93917,1,0.995,0.7641,1.10005,8.41241,0.00773,0.001604,0.001604,0.001604
22,343.899,1.4741,6.54577,0.00965,0.93917,1,0.995,0.7641,1.10005,8.41241,0.00773,0.0015842,0.0015842,0.0015842
23,359.369,1.53604,6.45486,0.00894,0.44304,0.79596,0.50167,0.37217,0.51311,7.94497,0.0037,0.0015644,0.0015644,0.0015644
24,374.21,1.12824,6.30828,0.00649,0.44304,0.79596,0.50167,0.37217,0.51311,7.94497,0.0037,0.0015446,0.0015446,0.0015446
25,391.61,1.17714,6.93609,0.00644,0.36515,0.6,0.55265,0.40482,0.95059,7.73259,0.00806,0.0015248,0.0015248,0.0015248
